item,itemLabel,itemDesc,siteLinks
Q76,Barack Obama,president of the United States from 2009 to 2017,326
Q9960,Ronald Reagan,president of the United States from 1981 to 1989 and actor,303
Q2831,Michael Jackson,"American singer, songwriter, and dancer",300
Q22686,Donald Trump,president of the United States from 2017 to 2021,300
Q7747,Vladimir Putin,president of Russia,295
Q8023,Nelson Mandela,First President of South Africa and anti-apartheid activist,274
Q207,George W. Bush,President of the United States from 2001 to 2009,270
Q1177254,David Woodard,American conductor and writer,268
Q6279,Joe Biden,President of the United States since 2021,248
Q9682,Elizabeth II,Queen of the United Kingdom from 1952 to 2022,238
Q9696,John F. Kennedy,President of the United States from 1961 to 1963,234
Q8027,Martin Luther King Jr.,American Baptist minister and civil rights leader,225
Q5284,Bill Gates,"American businessman, investor, and philanthropist",223
Q4616,Marilyn Monroe,American actress,223
Q181,Jimmy Wales,co-founder of Wikipedia,221
Q5577,Salvador Dalí,Spanish artist,219
Q157,François Hollande,President of France from 2012 to 2017,218
Q4617,Corbin Bleu,"American actor, model, dancer, film producer and singer-songwriter",218
Q19837,Steve Jobs,American entrepreneur; co-founder of Apple Inc.,215
Q5809,Che Guevara,Argentine Marxist revolutionary,215
Q1124,Bill Clinton,42nd President of the United States,212
Q567,Angela Merkel,chancellor of Germany from 2005 to 2021,211
Q450675,Pope Francis,266th pope of the Catholic Church,208
Q383541,Basshunter,"Swedish singer, record producer and DJ",205
Q1615,Neil Armstrong,American astronaut and lunar explorer,203
Q303,Elvis Presley,American singer and actor,201
Q11256,Fidel Castro,Cuban politician and revolutionary,199
Q989,John Paul II,264th pope of the Catholic Church,198
Q2494,Benedict XVI,pope of the Catholic Church from 2005 to 2013,198
Q3335,George Orwell,English author and journalist,196
Q7416,Margaret Thatcher,British stateswoman and prime minister,195
Q8704,Walt Disney,American animator and producer,194
Q3874799,Volodymyr Zelenskyy,President of Ukraine since 2019,193
Q17714,Stephen Hawking,"British theoretical physicist, cosmologist and author",193
Q34670,Albert Camus,"French philosopher, author, and journalist",193
Q5878,Gabriel García Márquez,Colombian writer and Nobel laureate,192
Q30487,Mikhail Gorbachev,leader of the Soviet Union from 1985 to 1991,192
Q4688112,Sung Jae-gi,South Korean masculism activist,191
Q329,Nicolas Sarkozy,President of France from 2007 to 2012,189
Q615,Lionel Messi,Argentine association football player,189
Q217096,Naruhito,Emperor of Japan since 2019,189
Q7327,Yuri Gagarin,"Soviet pilot and cosmonaut, first human in space",188
Q23505,George H. W. Bush,President of the United States from 1989 to 1993,188
Q4612,Marlene Dietrich,German and American actress and singer,187
Q19848,Lady Gaga,"American singer, songwriter, and actress",186
Q9364,Jean-Paul Sartre,French Existentialist philosopher,185
Q6294,Hillary Clinton,American politician and diplomat,184
Q11571,Cristiano Ronaldo,Portuguese footballer,184
Q30547,Mother Teresa,Albanian-Indian Catholic nun and missionary,184
Q1744,Madonna,"American singer, songwriter, and actress",183
Q8440,Hugo Chávez,"President of Venezuela, 1999–2002 and 2002–2013",182
Q23685,Jimmy Carter,president of the United States from 1977 to 1981,182
Q9588,Richard Nixon,president of the United States from 1969 to 1974,178
Q5588,Frida Kahlo,Mexican painter,178
Q7251,Alan Turing,English computer scientist,176
Q3052772,Emmanuel Macron,President of France and Co-Prince of Andorra since 2017,176
Q1203,John Lennon,English musician and member of the Beatles,176
Q392,Bob Dylan,American singer-songwriter,175
Q36107,Muhammad Ali,"American boxer, philanthropist, and activist",175
Q19878,Muammar Gaddafi,"Libyan revolutionary, politician and political theorist",174
Q39259,Recep Tayyip Erdoğan,President of the Republic of Turkey since 2014,173
Q9049,Noam Chomsky,American linguist and activist,172
Q1254,Kofi Annan,7th Secretary-General of the United Nations,171
Q15869,Freddie Mercury,"British singer, songwriter, record producer and graphic designer",170
Q12897,Pelé,Brazilian footballer,169
Q4414537,Guillermo Lasso,47 president of Ecuador,169
Q317521,Elon Musk,businessman,169
Q7282241,Rafael Orozco Maestre,Colombian singer,169
Q9640,Lyndon B. Johnson,president of the United States from 1963 to 1969,169
Q19581,Rafael Correa,President of Ecuador from 2007 to 2017,168
Q444,Lech Wałęsa,"statesman, pro-democracy activist, and former president of Poland",168
Q34086,Justin Bieber,Canadian singer,167
Q17515,Diego Maradona,Argentine football player and manager,167
Q1317,Osama bin Laden,Saudi terrorist and co-founder of al-Qaeda,167
Q5608,Eminem,"American rapper, record producer and actor",167
Q9582,Gerald Ford,president of the United States from 1974 to 1977,166
Q78516,Anna Netrebko,Russian-born Austrian operatic soprano,166
